"","id","faminc","incmiss","black","hisp","afqtpct","momcoll","dadcoll","female","f_dead","attend.college"
"1030",2734,5.599632,1,1,0,42.27296,0,0,0,0,0
"1031",2735,5.599632,1,1,0,14.72654,0,0,1,0,0
"1032",2739,2.089806,0,0,0,93.60261,0,0,1,0,1
"1034",2743,0.6791869,0,1,0,25.715,0,0,1,0,0
"1037",2765,4.641254,0,0,0,57.35072,0,0,0,0,1
"1039",2768,5.599632,1,1,0,13.67286,0,0,0,0,1
"1041",2773,2.925728,0,1,0,33.39187,0,0,0,0,1
"1042",2776,5.433539,1,0,0,73.30657,0,0,0,0,1
"1043",2779,4.032231,0,0,0,21.77622,0,0,0,0,0
"1045",2783,2.58827,1,0,0,45.30858,0,0,0,1,0
"1047",2791,2.92482,1,1,0,16.03111,0,0,0,1,1
"1048",2794,1.345016,0,1,0,3.788259,0,0,0,1,0
"1049",2798,5.433539,1,1,0,2.207727,0,0,0,0,0
"1050",2800,9.347898,0,0,0,91.21927,0,0,0,0,1
"1051",2801,7.31432,0,0,0,91.52032,0,1,0,0,0
"1053",2803,3.083471,0,1,0,27.54641,0,0,0,0,1
"1054",2804,2.462706,0,1,0,34.7717,0,0,1,0,1
"1055",2805,5.433539,1,1,0,14.22479,0,0,0,0,1
"1056",2806,6.535644,0,0,0,77.84747,0,0,1,0,1
"1058",2810,5.329005,0,0,0,61.44004,0,0,1,0,0
"1059",2811,5.30429,0,0,0,31.10888,0,0,0,0,0
"1060",2814,5.599632,1,0,0,86.17661,0,0,1,0,1
"1063",2824,4.357096,0,0,0,40.34119,0,0,1,0,0
"1064",2825,4.451815,0,0,0,32.11239,0,0,1,0,0
"1066",2837,5.30429,0,0,0,32.94029,0,0,0,0,0
"1067",2838,6.269418,0,0,0,94.88209,0,0,0,0,1
"1068",2840,6.687194,0,0,0,87.12996,0,0,1,0,1
"1070",2845,3.195835,0,0,0,99.12193,1,1,0,0,1
"1073",2850,5.224514,0,0,0,98.04315,1,0,1,0,1
"1074",2851,5.177845,1,0,0,97.13999,1,1,0,0,1
"1075",2853,3.557851,0,0,0,91.72102,0,0,0,0,0
"1076",2854,2.089806,0,0,0,65.05268,0,0,0,0,0
"1078",2857,7.31432,0,0,0,61.49022,0,0,0,0,0
"1079",2858,5.683168,0,0,0,80.0552,0,1,0,0,0
"1080",2860,5.683168,0,0,0,80.55695,0,1,0,0,1
"1081",2861,4.110825,0,0,0,99.67386,1,1,0,0,1
"1084",2870,5.433539,1,0,0,84.72153,1,1,0,0,1
"1086",2873,8.150243,0,0,0,96.86403,0,0,0,0,1
"1087",2881,5.177845,1,0,0,45.50928,0,0,0,0,0
"1088",2883,5.433539,1,0,0,88.43452,0,0,1,0,0
"1089",2888,5.177845,1,0,0,57.07476,1,1,0,0,1
"1090",2889,5.177845,1,0,0,70.89815,0,0,1,0,1
"1092",2894,10.44903,0,0,0,90.49171,1,1,1,0,1
"1093",2896,11.8595,0,0,0,86.15153,1,1,0,0,1
"1094",2899,5.433539,1,0,0,62.19267,1,1,1,0,1
"1095",2903,5.433539,1,0,0,94.75665,1,1,0,0,1
"1096",2904,5.433539,1,0,0,94.90717,1,1,0,0,1
"1097",2905,12.57107,0,0,0,84.82188,1,1,0,0,1
"1098",2906,11.49393,0,0,0,93.55244,1,1,0,0,1
"1099",2907,12.9568,0,0,0,81.13396,0,1,0,0,1
"1101",2912,0.7215729,0,0,1,35.95083,0,0,0,0,0
"1102",2914,4.032231,0,1,0,10.78776,0,0,0,0,1
"1103",2920,17.78949,0,0,0,51.00351,0,0,0,0,0
"1105",2922,5.599632,1,0,0,44.93226,0,0,0,0,0
"1106",2923,5.177845,1,0,0,65.32865,0,0,0,0,0
"1108",2927,7.115702,0,0,0,96.98946,1,0,0,1,0
"1109",2928,2.936304,0,0,0,98.01806,0,1,1,0,1
"1110",2937,6.269418,0,0,0,64.55093,1,0,0,0,1
"1111",2938,5.599632,1,0,0,41.59558,0,1,1,0,1
"1114",2944,7.577558,0,1,0,62.97039,1,0,0,0,0
"1115",2945,8.359223,0,0,0,62.46864,0,1,0,0,1
"1117",2950,13.26073,0,0,0,76.39237,1,1,0,0,1
"1118",2952,4.597573,0,0,0,59.15705,0,0,1,0,0
"1120",2956,6.269418,0,0,0,67.08479,1,1,0,0,1
"1121",2957,11.36634,0,0,0,85.07275,1,1,0,0,1
"1123",2959,7.956436,0,0,0,78.09834,1,1,1,0,1
"1125",2962,7.115702,0,0,0,54.1144,0,1,0,0,1
"1126",2963,5.433539,1,0,0,68.76568,1,1,0,0,1
"1128",2972,5.224514,0,0,0,70.34621,0,0,0,0,0
"1129",2973,5.224514,0,0,0,50.45158,0,0,0,0,0
"1130",2975,3.030218,0,0,0,80.73257,0,0,0,0,1
"1132",2977,2.925728,0,0,0,29.67887,0,0,0,1,0
"1133",2979,4.388592,0,0,0,57.42599,0,0,1,0,0
"1134",2982,13.58374,0,0,0,93.07577,1,1,0,0,1
"1136",2984,14.2314,0,0,0,99.7993,1,1,0,1,1
"1139",2990,5.454393,0,0,0,69.5434,0,0,1,0,0
"1140",2991,6.269418,0,0,0,65.15304,1,0,1,0,1
"1142",2998,11.62231,0,0,0,59.4581,0,0,0,0,0
"1143",3006,3.01943,0,1,0,61.59056,0,0,1,1,1
"1144",3016,3.795041,0,0,0,93.2012,0,0,0,0,1
"1146",3019,9.961984,0,0,0,66.58305,0,0,0,0,1
"1147",3020,6.251485,0,0,0,45.35876,0,0,1,0,0
"1148",3023,7.115702,0,0,0,50.25088,0,0,1,0,0
"1149",3024,6.630363,0,0,0,18.28901,0,0,0,0,0
"1150",3026,9.487603,0,0,0,59.55846,1,1,0,0,1
"1151",3030,5.433539,1,1,0,36.87908,0,0,0,0,0
"1152",3032,1.423141,0,1,0,3.562469,1,0,0,1,0
"1153",3042,5.599632,1,0,0,48.84596,0,0,1,0,0
"1155",3055,1.704951,0,0,0,19.51831,0,0,0,0,0
"1156",3056,2.298786,0,0,0,87.28048,0,0,0,0,0
"1158",3065,0.9487603,0,1,0,27.22027,0,0,1,0,0
"1161",3073,1.897521,0,1,0,28.90115,0,0,1,0,0
"1163",3078,2.609091,0,1,0,52.60913,0,0,1,0,1
"1164",3080,2.298786,0,0,0,37.55645,0,0,1,0,0
"1165",3081,2.273267,0,0,0,71.85148,0,0,1,0,0
