iduser,pop57,edfa57q,edmo57q,sesp57,hsdm57,hsrankq,tchevl,gwiiq_bm,relfml,milty,mlentr,mx014rer,mx015rer,iduser0,sexrsp,packyears,edfa57qmis,edmo57qmis,sesp57mis,hsrankqmis
177008,2,7,7,5,1,28,0,87,1,0,-2,0,0,1,,0,0,0,0,0
178001,2,7,10,3,3,6,0,67,1,1,2,45,2,1,,90,0,0,0,0
178002,2,7,7,4,3,48,0,101,39,0,-2,0,0,1,,0,0,0,0,0
179014,3,10,12,3,3,0,0,73,39,1,2,0,0,1,,0,0,0,0,0
179016,3,7,12,3,3,21,0,86,39,0,-2,30,1,1,,30,0,0,0,0
179019,3,7,7,3,3,16,0,98,39,0,-2,25,2,1,,50,0,0,0,0
180003,4,7,14,3,3,51,0,112,1,1,2,20,1,1,,20,0,0,0,0
180017,4,10,10,2,3,47,0,94,1,1,2,34,0,1,,0,0,0,0,0
180022,4,10,14,3,3,31,0,94,1,1,2,15,1,1,,15,0,0,0,0
181001,3,7,7,3,3,83,0,123,1,1,2,16,1,1,,16,0,0,0,0
181007,3,7,7,3,3,49,0,106,43,0,-2,31,1,1,,31,0,0,0,0
181011,3,10,7,2,3,-3,0,109,43,0,-2,0,0,1,,0,0,0,0,1
181013,3,12,10,3,3,-3,0,91,39,1,2,25,2,1,,50,0,0,0,1
182001,2,14,16,3,3,81,0,124,1,0,-2,2,1,1,,2,0,0,0,0
183006,5,10,12,3,1,4,0,87,1,1,2,0,0,1,,0,0,0,0,0
183009,5,7,7,3,1,86,0,127,1,1,2,25,2,1,,50,0,0,0,0
183012,5,7,7,1,1,61,0,94,1,1,2,0,0,1,,0,0,0,0,0
183016,5,12,12,4,1,97,1,109,1,0,-2,32,3,1,,96,0,0,0,0
183017,5,7,10,3,1,47,0,91,1,0,-2,0,0,1,,0,0,0,0,0
183020,5,-1,-1,3,1,8,0,96,1,1,2,12,2,1,,24,1,1,0,0
183024,5,12,10,3,1,47,0,92,1,1,2,0,0,1,,0,0,0,0,0
183025,5,16,14,4,1,10,0,121,1,1,2,23,1,1,,23,0,0,0,0
183027,5,7,7,2,1,18,0,97,1,0,-2,0,0,1,,0,0,0,0,0
184002,4,10,16,4,3,92,1,139,39,0,-2,0,0,1,,0,0,0,0,0
184003,4,12,13,4,3,68,1,103,39,1,2,17,1,1,,17,0,0,0,0
184008,4,16,12,3,3,74,0,113,39,0,-2,0,0,1,,0,0,0,0,0
184009,4,16,14,3,3,49,0,85,43,1,2,9,1,1,,9,0,0,0,0
184013,4,13,10,3,3,30,0,83,39,0,-2,8,0,1,,0,0,0,0,0
184019,4,10,16,3,3,51,0,102,18,1,2,30,2,1,,60,0,0,0,0
184021,4,7,16,3,3,25,0,98,39,0,-2,20,1,1,,20,0,0,0,0
184029,4,13,10,3,3,56,0,104,68,1,2,0,0,1,,0,0,0,0,0
184031,4,18,12,3,3,45,0,96,39,0,-2,25,2,1,,50,0,0,0,0
185002,2,7,13,4,3,52,0,76,39,1,1,0,0,1,,0,0,0,0,0
185004,2,10,12,3,3,14,0,109,39,1,2,35,1,1,,35,0,0,0,0
